DLBA Sale ID,Address,Sale Closed Date,Final Sale Price,Program,Block Range,Council District,Neighborhood,Zip Code,Street Number,Street Prefix,Street Name,Street Type,Parcel ID,Address ID,Longitude,Latitude,ObjectId,x,y
A-234897,10340 Violetlawn,2019-05-24,1300,Own It Now,10300-10437 Violetlawn St,7,Barton-McFarland,48204,10340,,VIOLETLAWN,St,18005908.,206129,-83.1625711865709,42.3677589502636,2163,-9257615.07754843,5216228.1358173
A-254085,16250 Coram,2020-02-26,1100,Own It Now,16200-16399 Coram St,3,Regent Park,48205,16250,,CORAM,St,21021994.,108957,-82.9523327432681,42.438103601231,2164,-9234211.4410948,5226832.83654042
A-056699,2057 Mclean,2016-04-19,1000,Own It Now,1900-2399 McLean St,3,Campau/Banglatown,48212,2057,,MCLEAN,St,09005740.,272950,-83.0722718231123,42.4068958307849,2165,-9247562.99838926,5222126.68916954
A-145269,10217 Cameron,2018-05-09,1000,Own It Now,10200-11221 Cameron St,5,North End,48211,10217,,CAMERON,St,05004452.,338793,-83.0749806631268,42.3923038026697,2166,-9247864.54508032,5219927.00734449
A-245602,10217 Cameron,2019-12-03,1000,Own It Now,10200-11221 Cameron St,5,North End,48211,10217,,CAMERON,St,05004452.,338793,-83.0749806631268,42.3923038026697,2167,-9247864.54508032,5219927.00734449
A-255471,19217 Healy,2020-03-17,1000,Own It Now,19100-19299 Healy St,3,Farwell,48234,19217,,HEALY,St,13017800.,288438,-83.0561307997418,42.4349784170434,2168,-9245766.18788679,5226361.45163703
A-301161,19219 Concord,2021-05-10,1000,Own It Now,19100-19299 Concord St,3,Nortown,48234,19219,,CONCORD,St,15011376.,265791,-83.033252471074,42.4355153657685,2169,-9243219.38398928,5226442.44023829
A-011189,14563 Greenlawn,2015-03-24,1500,Own It Now,14500-14799 Greenlawn St,7,Chalfonte,48238,14563,,GREENLAWN,St,16029968.,87041,-83.1504357168995,42.3962970983429,2170,-9256264.16324408,5220528.92765572
A-263730,2353 Richton,2020-05-26,1200,Own It Now,2200-2399 Richton St,5,Dexter-Linwood,48206,2353,,RICHTON,St,08003728.,33383,-83.1130178498075,42.3871516999818,2171,-9252098.82533283,5219150.47347821
A-248905,5556 S Martindale,2019-11-20,2100,Own It Now,5500-5605 S Martindale St,6,Midwest,48204,5556,S,MARTINDALE,St,16003769.,194357,-83.1328629541283,42.3601507620276,2172,-9254307.97224056,5215081.88699895
A-273053,8034 Georgia,2020-10-15,4100,Own It Now,8000-8138 Georgia St,3,Airport Sub,48213,8034,,GEORGIA,St,17001414.,282873,-83.0219001064266,42.3930143562786,2173,-9241955.64453744,5220034.1082203
A-274908,17449 Fleming,2020-11-24,7000,Own It Now,17400-17799 Fleming St,3,Cadillac Heights,48212,17449,,FLEMING,St,09014896.,281472,-83.0796367774766,42.421718738779,2174,-9248382.86135882,5224361.69902434
A-150281,570 Kenilworth,2017-12-19,2200,Own It Now,500-901 Kenilworth St,5,North End,48202,570,,KENILWORTH,St,03002590.,345974,-83.0753378910515,42.3867764087009,2175,-9247904.311511,5219093.91141486
A-305109,10067 Crocuslawn,2021-06-09,10000,Own It Now,10000-10299 Crocuslawn St,7,Barton-McFarland,48204,10067,,CROCUSLAWN,St,18005973.,206931,-83.1596720241242,42.3681096844471,2176,-9257292.34426115,5216280.9807388
A-247522,15390 Alden,2019-10-01,1000,Own It Now,15300-15399 Alden St,2,Pilgrim Village,48238,15390,,ALDEN,St,12011190-8,12080,-83.1301783480044,42.4045748027765,2177,-9254009.12325387,5221776.77054636
A-137407,18801 Caldwell,2017-08-03,1000,Own It Now,18800-18999 Caldwell St,3,Krainz Woods,48234,18801,,CALDWELL,St,13014462.,294511,-83.0473328985121,42.431737265886,2178,-9244786.81000184,5225872.59976997
A-256921,15420 Pierson,2020-07-21,1000,Own It Now,15400-15699 Pierson St,1,Brightmoor,48223,15420,,PIERSON,St,22106508.,110845,-83.2457433500122,42.4026909001837,2179,-9266873.7604309,5221492.76255181
A-175931,9285 Otsego,2018-08-07,1100,Own It Now,9200-9599 Otsego St,7,Nardin Park,48204,9285,,OTSEGO,St,14007289.,72301,-83.1241971748755,42.3691126605221,2180,-9253343.30210681,5216432.1002063
A-253006,8886 St Marys,2019-10-22,1000,Own It Now,8800-9099 Saint Marys St,7,Joy Community,48228,8886,,ST MARYS,St,22058352.,198739,-83.2040652249519,42.3593473714829,2181,-9262234.17277196,5214960.85636831
A-141214,8886 St Marys,2017-08-03,1000,Own It Now,8800-9099 Saint Marys St,7,Joy Community,48228,8886,,ST MARYS,St,22058352.,198739,-83.2040652249519,42.3593473714829,2182,-9262234.17277196,5214960.85636831
A-305011,15358 Cheyenne,2021-08-05,8000,Own It Now,15300-15399 Cheyenne St,2,Bethune Community,48227,15358,,CHEYENNE,St,22025852.,537990,-83.1745448508679,42.4030860025403,2183,-9258947.9797609,5221552.32555521
