Tract,State,County_name,GISJOIN,GISJOIN2,GeoRecType,Total_Population,White_Population,Black_Population,Occupied_Housing_Units,Occupied_Housing_Units_Owner,Occupied_Housing_Units_Renter,Count_Owner_Occupied_units,Avg_Value_OO_units,Count_Black_OO_units,Avg_Value_Black_OO_units,Count_Vacant_For_Sale_Only_Housing_Units,Avg_Vacant_For_Sale_Only,Total_Housing_Units,Count_Units_Value_Tabulated,less than 5k,5k_to_7499,7.5k_to_9999,10k_to_12499,12.5k_to_14999,15k_to_17499,17.5k_to_19999,20k_to_24999,25k_to_34999,35k_to_49999,50k_or_more,Tract_str,In city of Detroit?,% White Population,% Black Population,% Owner Occupied (OO) units,% Black OO units,Median_Housing_Value
944.1,MI,"Census Tract 944.1, Wayne County, Michigan",G2601630094401,2601630094401,1,1477,1403.0,74,451.0,397.0,54,179.0,17710.8938547486,,,,,457,179.0,4.0,14.0,17.0,36.0,11.0,25.0,14.0,38.0,12.0,0.0,8.0,944.1,No,94.9898442789438,5.0101557210561944,88.02660753880266,,15799.68
944.2,MI,"Census Tract 944.2, Wayne County, Michigan",G2601630094402,2601630094402,1,1268,1268.0,0,338.0,278.0,60,225.0,22342.2222222222,,,,,344,225.0,7.0,0.0,16.0,30.0,6.0,14.0,32.0,53.0,41.0,21.0,5.0,944.2,No,100.0,0.0,82.24852071005917,,20754.56603773585
945.1,MI,"Census Tract 945.1, Wayne County, Michigan",G2601630094501,2601630094501,1,1986,1954.0,27,596.0,399.0,197,361.0,18912.7423822715,,,,,607,361.0,10.0,15.0,18.0,42.0,50.0,44.0,57.0,63.0,42.0,16.0,4.0,945.1,No,98.38872104733132,1.3595166163141994,66.94630872483222,,17587.684210526317
945.2,MI,"Census Tract 945.2, Wayne County, Michigan",G2601630094502,2601630094502,1,3694,3686.0,0,950.0,812.0,138,783.0,20528.4163473819,,,,,967,783.0,0.0,14.0,4.0,37.0,71.0,97.0,198.0,257.0,78.0,27.0,0.0,945.2,No,99.78343259339469,0.0,85.47368421052632,,19632.984848484848
946,MI,"Census Tract 946, Wayne County, Michigan",G26016300946,26016300946,1,3125,3125.0,0,776.0,656.0,120,642.0,23200.9345794393,,,,,799,642.0,0.0,9.0,20.0,27.0,41.0,62.0,65.0,237.0,143.0,19.0,19.0,0946,No,100.0,0.0,84.5360824742268,,22056.550632911392
947.1,MI,"Census Tract 947.1, Wayne County, Michigan",G2601630094701,2601630094701,1,1419,1419.0,0,426.0,258.0,168,253.0,28152.1739130435,,,,,578,253.0,0.0,10.0,0.0,0.0,0.0,9.0,7.0,22.0,194.0,11.0,0.0,947.1,No,100.0,0.0,60.56338028169014,,29071.75773195876
947.2,MI,"Census Tract 947.2, Wayne County, Michigan",G2601630094702,2601630094702,1,1228,1228.0,0,449.0,379.0,70,164.0,20282.012195122,,,,,449,164.0,0.0,0.0,10.0,14.0,14.0,31.0,16.0,38.0,41.0,0.0,0.0,947.2,No,100.0,0.0,84.4097995545657,,19608.53125
947.3,MI,"Census Tract 947.3, Wayne County, Michigan",G2601630094703,2601630094703,1,619,619.0,0,157.0,,,123.0,23150.406504065,,,,,173,123.0,0.0,0.0,0.0,17.0,0.0,17.0,20.0,27.0,31.0,11.0,0.0,947.3,No,100.0,0.0,,,21481.185185185186
948.1,MI,"Census Tract 948.1, Wayne County, Michigan",G2601630094801,2601630094801,1,67,67.0,0,,,,,,,,,,24,,,,,,,,,,,,,948.1,No,100.0,0.0,,,
948.2,MI,"Census Tract 948.2, Wayne County, Michigan",G2601630094802,2601630094802,1,2022,2015.0,0,521.0,401.0,120,390.0,26070.5128205128,,,,,566,390.0,0.0,5.0,10.0,15.0,48.0,40.0,16.0,38.0,148.0,70.0,0.0,948.2,No,99.65380811078141,0.0,76.96737044145874,,26587.679054054053
